Url,Title
https://fr.wikipedia.org/wiki/Exploration_de_donn%C3%A9es,Exploration de données
https://fr.wikipedia.org/wiki/Fouille_de_donn%C3%A9es_spatiales,Fouille de données spatiales
https://fr.wikipedia.org/wiki/Fouille_du_web,Fouille du web
https://fr.wikipedia.org/wiki/Fouille_de_flots_de_donn%C3%A9es,Fouille de flots de données
https://fr.wikipedia.org/wiki/Fouille_de_textes,Fouille de textes
https://fr.wikipedia.org/wiki/Fouille_d%27images,Fouille d'images
https://fr.wikipedia.org/wiki/Fouille_audio,Fouille audio
https://fr.wikipedia.org/wiki/Glossaire_de_l%27exploration_de_donn%C3%A9es,Glossaire de l'exploration de données
https://fr.wikipedia.org/wiki/Base_de_donn%C3%A9es_relationnelle,Base de données relationnelle
https://fr.wikipedia.org/wiki/Hadoop,Hadoop
https://fr.wikipedia.org/wiki/Logiciels_de_fouille_de_donn%C3%A9es,Logiciels de fouille de données
https://fr.wikipedia.org/wiki/Robot_d%27indexation,Robot d'indexation
https://fr.wikipedia.org/wiki/Syst%C3%A8me_de_gestion_de_base_de_donn%C3%A9es,Système de gestion de base de données
https://fr.wikipedia.org/wiki/NoSQL,NoSQL
https://fr.wikipedia.org/wiki/NewSQL,NewSQL
https://fr.wikipedia.org/wiki/Technologies_mat%C3%A9rielles_d%C3%A9di%C3%A9es_au_centre_de_calcul,Technologies matérielles dédiées au centre de calcul
https://fr.wikipedia.org/wiki/Union_internationale_des_t%C3%A9l%C3%A9communications,Union internationale des télécommunications
https://fr.wikipedia.org/wiki/Histoire_d%27Internet,Histoire d'Internet
https://fr.wikipedia.org/wiki/R%C3%A9volution_num%C3%A9rique,Révolution numérique
https://fr.wikipedia.org/wiki/Donn%C3%A9es_ouvertes,Données ouvertes
https://fr.wikipedia.org/wiki/Mod%C3%A8le:Palette_Datascience,Modèle:Palette Datascience
https://fr.wikipedia.org/w/index.php?title=Mod%C3%A8le:Palette_Datascience&action=edit,
https://fr.wikipedia.org/wiki/MapReduce,MapReduce
https://fr.wikipedia.org/wiki/Apprentissage_profond,Apprentissage profond
https://fr.wikipedia.org/wiki/Extreme_learning_machine,Extreme learning machine
https://fr.wikipedia.org/wiki/Apprentissage_automatique,Apprentissage automatique
https://fr.wikipedia.org/wiki/Apprentissage_supervis%C3%A9,Apprentissage supervisé
https://fr.wikipedia.org/wiki/Apprentissage_non_supervis%C3%A9,Apprentissage non supervisé
https://fr.wikipedia.org/wiki/R%C3%A9seau_de_neurones_artificiels,Réseau de neurones artificiels
https://fr.wikipedia.org/wiki/Repr%C3%A9sentation_graphique_de_donn%C3%A9es,Représentation graphique de données
https://fr.wikipedia.org/wiki/Exploration_de_donn%C3%A9es,Exploration de données
https://fr.wikipedia.org/wiki/Fouille_de_textes,Fouille de textes
https://fr.wikipedia.org/wiki/Segmentation_d%27image,Segmentation d'image
https://fr.wikipedia.org/wiki/Intelligence_artificielle,Intelligence artificielle
https://fr.wikipedia.org/wiki/Big_data,Big data
https://fr.wikipedia.org/wiki/Data_Lineage,Data Lineage
https://fr.wikipedia.org/wiki/Hadoop,Hadoop
https://fr.wikipedia.org/wiki/Cloudera,Cloudera
https://fr.wikipedia.org/wiki/Hortonworks,Hortonworks
https://fr.wikipedia.org/wiki/Apache_Hive,Apache Hive
https://fr.wikipedia.org/wiki/NoSQL,NoSQL
https://fr.wikipedia.org/wiki/NewSQL,NewSQL
https://fr.wikipedia.org/wiki/HBase,HBase
https://fr.wikipedia.org/wiki/Cassandra_(base_de_donn%C3%A9es),Cassandra (base de données)
https://fr.wikipedia.org/wiki/Apache_Spark,Apache Spark
https://fr.wikipedia.org/wiki/Presto_(moteur_de_requ%C3%AAte_SQL),Presto (moteur de requête SQL)
https://fr.wikipedia.org/wiki/Apache_Impala,Apache Impala
https://fr.wikipedia.org/wiki/Apache_Pig,Apache Pig
https://fr.wikipedia.org/wiki/Tableau_Software,Tableau Software
https://fr.wikipedia.org/wiki/Elasticsearch,Elasticsearch
https://fr.wikipedia.org/wiki/MongoDB,MongoDB
https://fr.wikipedia.org/wiki/Apache_Mahout,Apache Mahout
https://fr.wikipedia.org/wiki/Scikit-learn,Scikit-learn
https://fr.wikipedia.org/wiki/TensorFlow,TensorFlow
https://fr.wikipedia.org/wiki/Theano_(logiciel),Theano (logiciel)
https://fr.wikipedia.org/wiki/SPSS,SPSS
https://fr.wikipedia.org/wiki/JMP_(logiciel),JMP (logiciel)
https://fr.wikipedia.org/wiki/Dataiku,Dataiku
https://fr.wikipedia.org/wiki/Apache_MXNet,Apache MXNet
https://fr.wikipedia.org/wiki/ONNX,ONNX
https://fr.wikipedia.org/wiki/Apache_SINGA,Apache SINGA
https://fr.wikipedia.org/wiki/Keras,Keras
https://fr.wikipedia.org/wiki/R_(langage),R (langage)
https://fr.wikipedia.org/wiki/Ggplot2,Ggplot2
https://fr.wikipedia.org/wiki/SAS_(langage),SAS (langage)
https://fr.wikipedia.org/wiki/Python_(langage),Python (langage)
https://fr.wikipedia.org/wiki/Julia_(langage),Julia (langage)
https://fr.wikipedia.org/wiki/Structured_Query_Language,Structured Query Language
https://fr.wikipedia.org/wiki/Scala_(langage),Scala (langage)
https://fr.wikipedia.org/wiki/Analyse_en_composantes_principales,Analyse en composantes principales
https://fr.wikipedia.org/wiki/Analyse_factorielle_des_correspondances,Analyse factorielle des correspondances
https://fr.wikipedia.org/wiki/Analyse_des_correspondances_multiples,Analyse des correspondances multiples
https://fr.wikipedia.org/wiki/M%C3%A9thode_des_moindres_carr%C3%A9s,Méthode des moindres carrés
https://fr.wikipedia.org/wiki/Analyse_des_donn%C3%A9es,Analyse des données
https://fr.wikipedia.org/wiki/Homosc%C3%A9dasticit%C3%A9,Homoscédasticité
https://fr.wikipedia.org/wiki/M%C3%A9thode_des_k_plus_proches_voisins,Méthode des k plus proches voisins
https://fr.wikipedia.org/wiki/Carte_auto_adaptative,Carte auto adaptative
https://fr.wikipedia.org/wiki/Statistique_multivari%C3%A9e,Statistique multivariée
https://fr.wikipedia.org/wiki/Th%C3%A9or%C3%A8me_de_Bayes,Théorème de Bayes
https://fr.wikipedia.org/wiki/Analyse_de_la_variance,Analyse de la variance
https://fr.wikipedia.org/wiki/Test_du_%CF%87%C2%B2,Test du χ²
https://fr.wikipedia.org/wiki/Distance_de_Cook,Distance de Cook
